asset,asset_class,H_target,class_reference,kappa,estimator,H_hat,bias,r_squared,n_obs,invalid_day_fraction
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,rk,0.09277365956191067,0.0026402621268678816,0.6343876833012265,1000,0.0
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,tsrv,0.08878821567876004,-0.0013451817562827456,0.6009022059714837,1000,0.0
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,pav,0.07039591755720498,-0.019737479877837805,0.48860951491810534,1000,0.0
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,pabpv,0.0675871456165778,-0.02254625181846498,0.4290369136650426,1000,0.0
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,bpv,0.09587931146141175,0.005745914026368967,0.7092738370698682,1000,0.0
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,ctrv,0.09721938893843406,0.007085991503391273,0.7188579708616911,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,rv5m,0.1280878414693643,0.040796047694806686,0.9015924067874631,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,rk,0.11928306673576206,0.03199127296120444,0.8535599009438204,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,tsrv,0.12330525324022423,0.036013459465666614,0.8815511860963596,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,pav,0.12021130276181441,0.03291950898725679,0.8190871149628907,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,pabpv,0.12254218203599329,0.03525038826143567,0.8474920459668777,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,bpv,0.11468387901370584,0.027392085239148226,0.8558071554672594,1000,0.0
energy_01,energy,0.08729179377455762,0.088,0.01,ctrv,0.11699618420792925,0.029704390433371627,0.855789168454603,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,rv5m,0.08843247759460537,0.00538922620779661,0.5350658472359895,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,rk,0.08928187976575207,0.006238628378943303,0.5097578910316396,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,tsrv,0.08637529818273501,0.0033320467959262468,0.4988066372588196,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,pav,0.08217436387184585,-0.0008688875149629183,0.42544041833547164,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,pabpv,0.07958393299320421,-0.0034593183936045546,0.3800046801414956,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,bpv,0.08971770678455872,0.006674455397749954,0.4892859244077632,1000,0.0
energy_02,energy,0.08304325138680876,0.088,0.01,ctrv,0.09198530470641786,0.008942053319609095,0.5112603569991636,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,rv5m,0.12553436715941504,0.05004515647541366,0.8160064290678339,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,rk,0.12308094000062593,0.047591729316624545,0.7575163038126544,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,tsrv,0.12323851072026237,0.04774930003626099,0.7354194672395998,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,pav,0.12066938624600963,0.04518017556200825,0.7105600071436013,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,pabpv,0.11568882477874079,0.040199614094739405,0.7078772218067244,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,bpv,0.11984693346489503,0.044357722780893644,0.7869841107653615,1000,0.0
metals_01,metals,0.07548921068400138,0.091,0.01,ctrv,0.12229882633095705,0.04680961564695567,0.7860938189855653,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,rv5m,0.08461606066028085,-0.007369697266875294,0.7129266641209888,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,rk,0.08913514467323445,-0.002850613253921691,0.7526795520805679,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,tsrv,0.08690003233547569,-0.005085725591680454,0.7109550899265814,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,pav,0.07983646367366261,-0.012149294253493537,0.6969272093072161,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,pabpv,0.07457002747346164,-0.017415730453694503,0.7043503621318288,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,bpv,0.0936753269498136,0.0016895690226574611,0.7738419974556165,1000,0.0
metals_02,metals,0.09198575792715614,0.091,0.01,ctrv,0.09222907013363373,0.00024331220647758056,0.7581886536753979,1000,0.0
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,rv5m,0.12595271699014737,0.009137606115241045,0.8952910237838347,1000,0.0
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,rk,0.12322693814498269,0.006411827270076359,0.854873960350848,1000,0.0
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,tsrv,0.12045566051120915,0.003640549636302823,0.8534394807297658,1000,0.0
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,pav,0.10687791536631874,-0.009937195508587585,0.8805199321142856,1000,0.0
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,pabpv,0.102698252835078,-0.014116858039828331,0.8815137356986071,1000,0.0
