H_latent,H_rv5m,H_tsrv,H_latent_lag40,H_rv5m_lag40,H_tsrv_lag40,H_corrected_rv5m,H_corrected_tsrv,H_corr_lag40_rv5m,H_corr_lag40_tsrv,omega_rv5m,omega_tsrv,convergence,varpi,path_id
0.218419,0.108622,0.090467,0.248652,0.139984,0.116759,0.110330,0.091590,0.141638,0.117893,0.029180,0.029180,converged,0.000100,62
0.208827,0.108013,0.094544,0.197942,0.092433,0.074402,0.108013,0.094544,0.092433,0.074402,0.000122,0.000122,converged,0.000100,63
0.248261,0.112469,0.088532,0.231116,0.132787,0.108612,0.114300,0.089691,0.134440,0.109731,0.028948,0.028948,converged,0.000100,64
0.201894,0.117348,0.094642,0.203418,0.116551,0.096652,0.117348,0.094642,0.116551,0.096652,0.000108,0.000108,converged,0.000100,65
0.190219,0.111651,0.092307,0.214769,0.125268,0.106275,0.113400,0.093444,0.126840,0.107346,0.028063,0.028063,converged,0.000100,66
0.201744,0.086959,0.066215,0.183907,0.109550,0.092993,0.088385,0.067068,0.110975,0.093975,0.028405,0.028405,converged,0.000100,67
0.194199,0.075031,0.051599,0.206992,0.109030,0.089439,0.076263,0.052258,0.110482,0.090417,0.028089,0.028089,converged,0.000100,68
0.217134,0.092878,0.067900,0.185828,0.100266,0.081861,0.094437,0.068799,0.101592,0.082726,0.028740,0.028740,converged,0.000100,69
0.215994,0.093619,0.073215,0.242438,0.155572,0.135567,0.095251,0.074225,0.157597,0.137011,0.028335,0.028335,converged,0.000100,70
0.192080,0.104092,0.084230,0.192060,0.113680,0.095250,0.104092,0.084230,0.113680,0.095250,0.000214,0.000214,converged,0.000100,71
0.211616,0.096061,0.074853,0.245693,0.117719,0.089101,0.096062,0.074853,0.117720,0.089102,0.000535,0.000535,converged,0.000100,72
0.198147,0.092412,0.071061,0.173385,0.107259,0.091867,0.093884,0.071947,0.108584,0.092767,0.027399,0.027399,converged,0.000100,73
0.209755,0.125143,0.106916,0.171117,0.116613,0.099197,0.127103,0.108224,0.118102,0.100221,0.027706,0.027706,converged,0.000100,74
0.205052,0.083257,0.062051,0.166080,0.071307,0.053271,3.968448,0.234648,1.834307,-0.119007,0.208108,0.208108,converged,0.000100,75
0.246075,0.137163,0.111296,0.216406,0.113160,0.089646,0.139247,0.112633,0.114539,0.090527,0.028325,0.028325,converged,0.000100,76
0.174561,0.093420,0.072839,0.210978,0.113067,0.089975,6.737161,0.324592,2.499755,0.271000,0.215379,0.215379,converged,0.000100,77
0.219548,0.077029,0.061129,0.241649,0.142367,0.119721,0.077029,0.061129,0.142367,0.119721,0.000133,0.000133,converged,0.000100,78
0.212675,0.098059,0.074612,0.191392,0.090309,0.064967,0.098059,0.074612,0.090309,0.064967,0.000212,0.000212,converged,0.000100,79
0.225320,0.103109,0.083788,0.219635,0.122126,0.102111,6.059589,2.303224,3.300628,1.131771,0.226948,0.226948,converged,0.000100,80
0.199054,0.102408,0.078520,0.149531,0.069970,0.051288,0.104039,0.079513,0.070887,0.051813,0.027108,0.027108,converged,0.000100,81
0.228907,0.123032,0.102027,0.220532,0.127093,0.104522,0.124931,0.103239,0.128661,0.105555,0.028449,0.028449,converged,0.000100,82
0.185656,0.110968,0.093467,0.187595,0.096838,0.075772,0.112701,0.094623,0.098051,0.076529,0.028557,0.028557,converged,0.000100,83
0.212350,0.061479,0.034905,0.185731,0.072865,0.049951,0.061479,0.034905,0.072865,0.049951,0.000184,0.000184,converged,0.000100,84
0.177999,0.107937,0.092091,0.165109,0.093109,0.076103,0.107938,0.092091,0.093109,0.076103,0.000272,0.000272,converged,0.000100,85
0.163312,0.057042,0.037435,0.172703,0.108268,0.092001,0.057042,0.037435,0.108269,0.092001,0.000197,0.000197,converged,0.000100,86
0.227005,0.085986,0.063434,0.224430,0.138860,0.117192,0.085986,0.063434,0.138860,0.117192,0.000181,0.000181,converged,0.000100,87
0.199442,0.107428,0.085414,0.200395,0.119698,0.100950,0.109120,0.086486,0.121251,0.102026,0.028068,0.028068,converged,0.000100,88
0.188483,0.080825,0.065503,0.176499,0.118755,0.103791,0.080825,0.065503,0.118755,0.103791,0.000039,0.000039,converged,0.000100,89
0.209798,0.087169,0.066751,0.218017,0.131204,0.110740,0.088629,0.067642,0.132848,0.111891,0.028149,0.028149,converged,0.000100,90
0.155477,0.102760,0.092528,0.220886,0.121205,0.103388,0.104340,0.093659,0.122576,0.104341,0.028034,0.028034,converged,0.000100,91
0.199936,0.096368,0.076415,0.186002,0.110266,0.090940,5.193899,-0.397720,2.276920,0.302955,0.215534,0.215534,converged,0.000100,92
0.186098,0.060707,0.036674,0.248159,0.153552,0.130823,0.061771,0.037173,0.155418,0.132115,0.027806,0.027806,converged,0.000100,93
0.216695,0.090118,0.067285,0.192387,0.097280,0.077802,0.091546,0.068112,0.098573,0.078630,0.028493,0.028493,converged,0.000100,94
0.208168,0.104028,0.085548,0.190857,0.106028,0.086663,0.105624,0.086562,0.107286,0.087479,0.028094,0.028094,converged,0.000100,95
0.163238,0.057020,0.038494,0.192626,0.115146,0.095321,0.057979,0.038993,0.116655,0.096330,0.028729,0.028729,converged,0.000100,96
0.180415,0.021412,0.008699,0.154572,0.067026,0.050094,0.021782,0.008799,0.067974,0.050627,0.028225,0.028225,converged,0.000100,97
0.220795,0.141373,0.118565,0.175108,0.082542,0.067717,0.143458,0.119924,0.083564,0.068372,0.027417,0.027417,converged,0.000100,98
0.233035,0.099062,0.078843,0.192854,0.099773,0.080120,0.099062,0.078843,0.099773,0.080120,0.000071,0.000071,converged,0.000100,99
0.184720,0.058791,0.039491,0.213300,0.119226,0.096762,0.058791,0.039491,0.119226,0.096762,0.000089,0.000089,converged,0.000500,0
0.204918,0.115239,0.098805,0.139735,0.071452,0.054962,0.115239,0.098806,0.071452,0.054962,0.000104,0.000104,converged,0.000500,1
0.214092,0.135961,0.118610,0.202928,0.114957,0.094282,0.138038,0.120058,0.116383,0.095259,0.027559,0.027559,converged,0.000500,2
